埃	*qˤə 
哀	*ʔˤəj 
藹	*qˤa[t]-s 
阸	*qˤ<r>[i]k-s 
隘	*qˤ<r>[i]k-s 
愛	*[q]ˤə[p]-s 
僾	*qˤəp-s 
艾	*C.ŋˤa[t]-s 
鞌	*[ʔ]ˤa[n] 
鞍	*[ʔ]ˤa[n] 
安	*[ʔ]ˤa[n] 
安	*[ʔ]ˤa[n] 
安	*[ʔ]ˤa[n] 
晻	*qˤ[o]mʔ 
按	*ʔˤa[n]-s 
案	*ʔˤa[n]-s 
晻	*qˤ[o]m(ʔ)-s 
暗	*qˤum-s 
黬	*[k]ˤr[ə]m 
岸	*[ŋ]ˤa[r]-s 
豻	*m-[ɢ]ˤa[r]-s 
卬	*[k.ŋ]ˤaŋ 
卬	*ŋˤaŋ 
㼜	*ʔˤaŋ-s 
敖	*[ŋ]ˤaw 
囂	*[ŋ]ˤaw 
敖	*ŋˤaw 
嗸	*ŋˤaw 
熬	*ŋˤaw 
媼	*ʔˤuʔ 
奧	*ʔˤuk-s 
澳	*ʔˤuk-s 
巴	*pˤra 
巴	*pˤra 
豝	*pˤra 
八	*pˤret 
軷	*[b]ˤ[a]t 
茇	*m-pˤ[a]t 
拔	*bˤ<r>ot 
茇	*pˤ[a]t 
胈	*pˤot 
把	*pˤraʔ 
罷	*[b]ˤrajʔ 
霸	*pˤrak-s 
白	*bˤrak 
百	*pˤrak 
柏	*pˤrak 
敗	*N-pˤra[t]-s 
稗	*C.[b]ˤre-s 
敗	*pˤra[t]-s 
拜	*C.pˤro[t]-s 
班	*pˤ<r>an 
頒	*pˤ<r>ə[n] (MC F!)
朌	*pˤ<r>ə[n] (MC V!)
斑	*pˤran 
搬	*Cə.pˤan 
板	*C.pˤranʔ 
板	*pˤranʔ 
阪	*pa[n]ʔ 
伴	*[C.b]ˤanʔ 
辦	*[b]ˤren-s 
半	*pˤan-s 
邦	*pˤroŋ 
蚌	*[b]ˤroŋʔ 
蜯	*[b]ˤroŋʔ 
傍	*[b]ˤaŋ-s 
榜	*pˤraŋ-s 
謗	*pˤaŋ-s 
包	*pˤ<r>u 
胞	*pˤ<r>u 
苞	*pˤ<r>u 
褒	*pˤu 
雹	*C.[b]ˤruk 
飽	*pˤruʔ 
保	*pˤuʔ 
寶	*pˤuʔ 
抱	*[m-p]ˤuʔ 
暴	*[b]ˤawk-s 
瀑	*[b]ˤawk 
豹	*pˤr[e]wk-s 
爆	*pˤrawk-s 
報	*pˤuk-s 
悲	*prəj 
陂	*p(r)a[j] 
碑	*pre 
卑	*pe 
卑	*pe 
杯	*pˤə 
北	*pˤək 
拔	*bˤot-s 
備	*[b]rək-s 
被	*m-pʰ(r)ajʔ 
被	*m-pʰ(r)ajʔ-s 
倍	*[b]ˤəʔ 
孛	*[b]ˤ[u]t-s 
悖	*[b]ˤut-s 
誖	*[b]ˤut-s 
焙	*[b]ˤə-s 
背	*m-pˤək-s 
偝	*m-pˤək-s 
誖	*[b]ˤut 
貝	*pˤa[t]-s 
背	*pˤək-s 
賁	*pˤur 
奔	*pˤur 
本	*C.pˤə[n]ʔ 
畚	*pˤu[n]ʔ 
祊	*pˤraŋ 
