Part	Poem	Verse	Word1	Word2	IPA1	IPA2	Type	Rhyming	Lines
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	2	鸠	洲	kieu44	ʦieu44	tonal inexact	paired	1-2
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	2	鸠	逑	kieu44	kieu53	inexact	encircling	1-4
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	2	洲	逑	ʦieu44	kieu53	inexact	paired	2-4
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	之	之	ʦi44	ʦi44	tonal inexact	crossed	6-8
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	得	侧	tɑiʔ23	ʦʰɑiʔ23	tonal exact	-	9-12
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ge Tan	3	谷	莫	kouʔ23	mouʔ5	exact	paired	28-29
book-of-poetry/odes-of-zhou-and-the-south/zhs	Juan Er	4	黄	伤	uoŋ53	suoŋ44	exact	crossed	48-50
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	2	之	之	ʦi44	ʦi44	tonal inexact	crossed	56-58
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	3	之	之	ʦi44	ʦi44	tonal inexact	crossed	60-62
book-of-poetry/odes-of-zhou-and-the-south/zhs	Zhong SI	2	兮	兮	hi44	hi44	tonal inexact	crossed	68-70
book-of-poetry/odes-of-zhou-and-the-south/zhs	Zhong SI	3	兮	兮	hi44	hi44	tonal inexact	crossed	72-74
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	女	思	ny32	sy44	inexact	-	117-118
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	女	思	ny32	sy44	inexact	crossed	117-120
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	女	思	ny32	sy44	inexact	-	117-122
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sy44	sy44	tonal inexact	-	118-120
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sy44	sy44	tonal inexact	crossed	118-122
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	矣	矣	i32	i32	tonal inexact	-	119-121
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sy44	sy44	tonal inexact	-	120-122
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	矣	矣	i32	i32	tonal inexact	-	127-129
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	思	思	sy44	sy44	tonal inexact	-	128-130
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ru Fen	3	肄	弃	ɛi242	kʰɛi212	inexact	crossed	144-146
book-of-poetry/odes-of-shao-and-the-south/zhs	Que Chao	2	之	之	ʦi44	ʦi44	tonal inexact	crossed	161-163
book-of-poetry/odes-of-shao-and-the-south/zhs	Que Chao	3	之	之	ʦi44	ʦi44	tonal inexact	crossed	165-167
book-of-poetry/odes-of-shao-and-the-south/zhs	Cai Fan	2	沚	之	ʦi32	ʦi44	inexact	paired	173-174
book-of-poetry/odes-of-shao-and-the-south/zhs	Cai Fan	3	中	宫	tyŋ44	kyŋ44	tonal exact	crossed	177-179
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	2	阜	子	ʦyŋ44	ʦy32	inexact	paired	185-186
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	2	阜	忡	ʦyŋ44	ʦʰyŋ44	tonal exact	crossed	185-187
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	2	子	忡	ʦy32	ʦʰyŋ44	inexact	-	186-187
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	2	止	止	ʦi32	ʦi32	tonal inexact	-	188-189
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	3	蕨	说	kuɔʔ23	suɔʔ23	tonal exact	-	192-197
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	3	止	止	ʦi32	ʦi32	tonal inexact	-	195-196
book-of-poetry/odes-of-shao-and-the-south/zhs	Xing Lu	3	狱	狱	ŋuoʔ5	ŋuoʔ5	tonal exact	-	232-233
book-of-poetry/odes-of-shao-and-the-south/zhs	Yin Qi Lei	2	斯	子	sy44	ʦy32	inexact	crossed	255-257
book-of-poetry/odes-of-shao-and-the-south/zhs	Yin Qi Lei	3	斯	子	sy44	ʦy32	inexact	crossed	261-263
book-of-poetry/odes-of-shao-and-the-south/zhs	Piao You Mei	2	兮	兮	hi44	hi44	tonal inexact	crossed	272-274
book-of-poetry/odes-of-shao-and-the-south/zhs	Piao You Mei	3	兮	兮	hi44	hi44	tonal inexact	crossed	276-278
book-of-poetry/odes-of-shao-and-the-south/zhs	Xiao Xing	2	东	公	tuŋ44	kuŋ44	tonal exact	crossed	284-286
book-of-poetry/odes-of-shao-and-the-south/zhs	Xiao Xing	2	东	同	tuŋ44	tuŋ53	exact	encircling	284-287
book-of-poetry/odes-of-shao-and-the-south/zhs	Xiao Xing	2	公	同	kuŋ44	tuŋ53	exact	-	286-287
book-of-poetry/odes-of-shao-and-the-south/zhs	Jiang You Si	2	以	以	i32	i32	tonal inexact	-	295-296
book-of-poetry/odes-of-shao-and-the-south/zhs	Jiang You Si	3	与	与	y53	y53	tonal inexact	-	300-301
book-of-poetry/odes-of-shao-and-the-south/zhs	Jiang You Si	3	与	处	y53	ʦʰy32	inexact	paired	300-302
book-of-poetry/odes-of-shao-and-the-south/zhs	Jiang You Si	3	与	处	y53	ʦʰy32	inexact	-	301-302
book-of-poetry/odes-of-bei/zhs	Bo Zhou	2	流	忧	lieu53	ieu44	inexact	crossed	338-340
