book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	之	之	tsɨ24	tsɨ24	tonal inexact	crossed	6-8
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	得	侧	tet̚2	tset̚2	tonal exact	encircling	9-12
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ge Tan	2	谷	木	kuk̚2	muk̚2	tonal exact	encircling	22-25
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ge Tan	2	萋	飞	tɕʰi24	fi24	tonal inexact	paired	23-24
book-of-poetry/odes-of-zhou-and-the-south/zhs	Juan Er	4	黄	伤	voŋ11	soŋ24	exact	crossed	48-50
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	2	之	子	tsɨ24	tsɨ31	inexact	paired	56-57
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	2	之	之	tsɨ24	tsɨ24	tonal inexact	crossed	56-58
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	2	子	之	tsɨ31	tsɨ24	inexact	paired	57-58
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	3	之	子	tsɨ24	tsɨ31	inexact	paired	60-61
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	3	之	之	tsɨ24	tsɨ24	tonal inexact	crossed	60-62
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	3	子	之	tsɨ31	tsɨ24	inexact	paired	61-62
book-of-poetry/odes-of-zhou-and-the-south/zhs	Zhong SI	2	兮	兮	hi24	hi24	tonal inexact	crossed	68-70
book-of-poetry/odes-of-zhou-and-the-south/zhs	Zhong SI	3	兮	兮	hi24	hi24	tonal inexact	crossed	72-74
book-of-poetry/odes-of-zhou-and-the-south/zhs	Tu Ju	3	夫	仇	fu24	su11	inexact	paired	97-98
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	息	矣	ɕit̚5	i31	inexact	encircling	116-119
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	息	矣	ɕit̚5	i31	inexact	-	116-121
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sɨ24	sɨ24	tonal inexact	crossed	118-120
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sɨ24	sɨ24	tonal inexact	-	118-122
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	矣	矣	i31	i31	tonal inexact	crossed	119-121
