book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	之	之	tɕi55	tɕi55	tonal inexact	crossed	6-8
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	之	侧	tɕi55	tɕʰik̚3ʔ	inexact	-	6-12
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	之	侧	tɕi55	tɕʰik̚3ʔ	inexact	-	8-12
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	119-121
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	su31	su31	tonal inexact	crossed	120-122
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	马	矣	ma51	aʔ3ʔ	inexact	paired	126-127
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	马	矣	ma51	aʔ3ʔ	inexact	encircling	126-129
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	127-129
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	思	思	su31	su31	tonal inexact	crossed	128-130
book-of-poetry/odes-of-shao-and-the-south/zhs	Que Chao	2	之	之	tɕi55	tɕi55	tonal inexact	crossed	161-163
book-of-poetry/odes-of-shao-and-the-south/zhs	Que Chao	3	之	之	tɕi55	tɕi55	tonal inexact	crossed	165-167
book-of-poetry/odes-of-shao-and-the-south/zhs	Xing Lu	3	屋	足	ɔk̚3ʔ	tɕɔk̚3ʔ	tonal exact	-	230-234
book-of-poetry/odes-of-shao-and-the-south/zhs	Jiang You Si	2	以	以	i51	i51	tonal inexact	paired	295-296
book-of-poetry/odes-of-bei/zhs	Bo Zhou	2	忧	游	iu55	iu24	inexact	crossed	340-342
book-of-poetry/odes-of-bei/zhs	Bo Zhou	3	诉	怒	sɔ31	nɔ33	inexact	paired	347-348
book-of-poetry/odes-of-bei/zhs	Bo Zhou	4	也	也	ia33	ia33	tonal inexact	crossed	350-352
book-of-poetry/odes-of-bei/zhs	Bo Zhou	4	也	也	ia33	ia33	tonal inexact	-	350-354
book-of-poetry/odes-of-bei/zhs	Bo Zhou	4	也	也	ia33	ia33	tonal inexact	crossed	352-354
book-of-poetry/odes-of-bei/zhs	Yan Yan	3	之	及	tɕi55	kip̚5ʔ	inexact	paired	392-393
book-of-poetry/odes-of-bei/zhs	Yan Yan	3	之	泣	tɕi55	kʰip̚3ʔ	inexact	crossed	392-394
book-of-poetry/odes-of-bei/zhs	Yan Yan	3	及	泣	kip̚5ʔ	kʰip̚3ʔ	exact	paired	393-394
book-of-poetry/odes-of-bei/zhs	Yan Yan	4	及	心	kip̚5ʔ	ɕim55	inexact	paired	399-400
book-of-poetry/odes-of-bei/zhs	Ri Yue	2	土	顾	tʰɔ51	kɔ31	inexact	-	408-412
book-of-poetry/odes-of-bei/zhs	Kai Feng	3	薪	人	ɕin55	dzin24	exact	crossed	472-474
book-of-poetry/odes-of-bei/zhs	Gu Feng	2	菲	违	hui55	ui24	inexact	crossed	519-521
book-of-poetry/odes-of-bei/zhs	Gu Feng	5	之	之	tɕi55	tɕi55	tonal inexact	crossed	540-542
book-of-poetry/odes-of-bei/zhs	Gu Feng	5	之	之	tɕi55	tɕi55	tonal inexact	-	540-544
book-of-poetry/odes-of-bei/zhs	Gu Feng	5	之	之	tɕi55	tɕi55	tonal inexact	crossed	542-544
book-of-poetry/odes-of-bei/zhs	Gu Feng	5	之	之	tɕi55	tɕi55	tonal inexact	-	542-546
book-of-poetry/odes-of-bei/zhs	Gu Feng	5	亡	丧	bɔŋ24	sɔŋ31	exact	crossed	543-545
book-of-poetry/odes-of-bei/zhs	Gu Feng	5	之	之	tɕi55	tɕi55	tonal inexact	crossed	544-546
book-of-poetry/odes-of-bei/zhs	Shi Wei	2	故	露	kɔ31	lɔ33	inexact	paired	565-566
book-of-poetry/odes-of-bei/zhs	Quan Shui	2	淇	姬	ki24	ki55	inexact	encircling	606-609
book-of-poetry/odes-of-bei/zhs	Quan Shui	4	迈	害	mai33	hai33	tonal inexact	crossed	620-622
book-of-poetry/odes-of-bei/zhs	Bei Men	2	贫	之	pin24	tɕi55	inexact	encircling	631-634
book-of-poetry/odes-of-bei/zhs	Bei Men	2	哉	哉	tsai55	tsai55	tonal inexact	crossed	633-635
book-of-poetry/odes-of-yong/zhs	Bo Zhou	2	仪	只	gi24	tɕi51	inexact	crossed	703-705
book-of-poetry/odes-of-yong/zhs	Bo Zhou	2	仪	只	gi24	tɕi51	inexact	encircling	703-706
book-of-poetry/odes-of-yong/zhs	Bo Zhou	2	只	只	tɕi51	tɕi51	tonal inexact	paired	705-706
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	2	言	也	gian24	ia33	inexact	paired	716-717
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	2	言	也	gian24	ia33	inexact	crossed	716-718
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	2	言	也	gian24	ia33	inexact	encircling	716-719
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	2	也	也	ia33	ia33	tonal inexact	paired	717-718
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	2	也	也	ia33	ia33	tonal inexact	crossed	717-719
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	2	也	也	ia33	ia33	tonal inexact	paired	718-719
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	3	言	也	gian24	ia33	inexact	paired	722-723
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	3	言	也	gian24	ia33	inexact	crossed	722-724
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	3	言	也	gian24	ia33	inexact	encircling	722-725
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	3	也	也	ia33	ia33	tonal inexact	paired	723-724
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	3	也	也	ia33	ia33	tonal inexact	crossed	723-725
book-of-poetry/odes-of-yong/zhs	Qiang You Ci	3	也	也	ia33	ia33	tonal inexact	paired	724-725
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	paired	742-743
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	crossed	742-744
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	encircling	742-745
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	-	742-746
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	-	742-747
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	paired	743-744
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	crossed	743-745
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	encircling	743-746
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	-	743-747
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	paired	744-745
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	crossed	744-746
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	encircling	744-747
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	paired	745-746
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	crossed	745-747
book-of-poetry/odes-of-yong/zhs	Jun Zi Xie Lao	3	也	也	ia33	ia33	tonal inexact	paired	746-747
book-of-poetry/odes-of-yong/zhs	Sang Zhong	2	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	757-759
book-of-poetry/odes-of-yong/zhs	Sang Zhong	2	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	-	757-762
book-of-poetry/odes-of-yong/zhs	Sang Zhong	2	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	encircling	759-762
book-of-poetry/odes-of-yong/zhs	Sang Zhong	3	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	764-766
book-of-poetry/odes-of-yong/zhs	Sang Zhong	3	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	-	764-769
book-of-poetry/odes-of-yong/zhs	Sang Zhong	3	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	encircling	766-769
book-of-poetry/odes-of-yong/zhs	Chun Zhi Ben Ben	2	强	良	kiɔŋ33	liɔŋ24	exact	paired	778-779
book-of-poetry/odes-of-yong/zhs	Ding Zhi Fang Zhong	2	室	瑟	ɕik̚3ʔ	ɕik̚3ʔ	tonal exact	encircling	788-791
book-of-poetry/odes-of-yong/zhs	Ding Zhi Fang Zhong	3	桑	臧	sɔŋ55	tsɔŋ55	tonal exact	crossed	796-798
book-of-poetry/odes-of-yong/zhs	Xiang Shu	2	仪	仪	gi24	gi24	tonal inexact	paired	819-820
book-of-poetry/odes-of-yong/zhs	Xiang Shu	3	止	止	tɕi51	tɕi51	tonal inexact	paired	823-824
book-of-poetry/odes-of-yong/zhs	Gan Mao	2	之	之	tɕi55	tɕi55	tonal inexact	paired	832-833
book-of-poetry/odes-of-yong/zhs	Gan Mao	2	之	之	tɕi55	tɕi55	tonal inexact	encircling	832-835
book-of-poetry/odes-of-yong/zhs	Gan Mao	2	之	之	tɕi55	tɕi55	tonal inexact	crossed	833-835
book-of-poetry/odes-of-yong/zhs	Gan Mao	3	之	之	tɕi55	tɕi55	tonal inexact	crossed	839-841
book-of-poetry/odes-of-yong/zhs	Zai Chi	2	悠	忧	iu55	iu55	tonal inexact	encircling	850-853
book-of-poetry/odes-of-yong/zhs	Zai Chi	3	臧	臧	tsɔŋ55	tsɔŋ55	tonal exact	-	856-860
book-of-poetry/odes-of-yong/zhs	Zai Chi	4	行	之	hiŋ33	tɕi55	inexact	paired	865-866
book-of-poetry/odes-of-wei/zhs	Shuo Ren	4	骄	朝	kiau55	tiau24	inexact	crossed	931-933
book-of-poetry/odes-of-wei/zhs	Mang	2	丝	淇	ɕi55	ki24	inexact	crossed	945-947
book-of-poetry/odes-of-wei/zhs	Mang	2	丝	期	ɕi55	ki55	tonal inexact	-	945-949
book-of-poetry/odes-of-wei/zhs	Mang	2	谋	怒	bɔ24	nɔ33	inexact	-	946-951
book-of-poetry/odes-of-wei/zhs	Mang	2	淇	期	ki24	ki55	inexact	crossed	947-949
book-of-poetry/odes-of-wei/zhs	Mang	2	淇	期	ki24	ki55	inexact	-	947-952
book-of-poetry/odes-of-wei/zhs	Mang	2	期	期	ki55	ki55	tonal inexact	encircling	949-952
book-of-poetry/odes-of-wei/zhs	Mang	3	关	关	kuan55	kuan55	tonal exact	paired	954-955
book-of-poetry/odes-of-wei/zhs	Mang	3	关	关	kuan55	kuan55	tonal exact	encircling	954-957
book-of-poetry/odes-of-wei/zhs	Mang	3	关	关	kuan55	kuan55	tonal exact	crossed	955-957
book-of-poetry/odes-of-wei/zhs	Mang	3	言	言	gian24	gian24	tonal exact	crossed	958-960
book-of-poetry/odes-of-wei/zhs	Mang	4	也	也	ia33	ia33	tonal inexact	crossed	970-972
book-of-poetry/odes-of-wei/zhs	Mang	5	贫	行	pin24	hiŋ33	inexact	-	976-980
book-of-poetry/odes-of-wei/zhs	Mang	5	贫	极	pin24	kik̚5ʔ	inexact	-	976-981
book-of-poetry/odes-of-wei/zhs	Mang	5	贫	德	pin24	tik̚3ʔ	inexact	-	976-982
book-of-poetry/odes-of-wei/zhs	Mang	5	行	极	hiŋ33	kik̚5ʔ	inexact	paired	980-981
book-of-poetry/odes-of-wei/zhs	Mang	5	行	德	hiŋ33	tik̚3ʔ	inexact	crossed	980-982
book-of-poetry/odes-of-wei/zhs	Mang	5	极	德	kik̚5ʔ	tik̚3ʔ	exact	paired	981-982
book-of-poetry/odes-of-wei/zhs	Mang	6	寐	之	bi33	tɕi55	inexact	-	985-991
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	paired	986-987
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	986-988
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	-	986-990
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	-	986-992
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	paired	987-988
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	encircling	987-990
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	-	987-992
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	988-990
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	-	988-992
book-of-poetry/odes-of-wei/zhs	Mang	6	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	990-992
book-of-poetry/odes-of-wei/zhs	Zhu Gan	2	淇	之	ki24	tɕi55	inexact	crossed	1004-1006
book-of-poetry/odes-of-wang/zhs	Shu Li	2	者	者	tɕa51	tɕa51	tonal inexact	crossed	1083-1085
book-of-poetry/odes-of-wang/zhs	Shu Li	2	忧	求	iu55	kiu24	inexact	crossed	1084-1086
book-of-poetry/odes-of-wang/zhs	Shu Li	3	穗	醉	sui33	tsui31	inexact	crossed	1090-1092
book-of-poetry/odes-of-wang/zhs	Shu Li	3	者	者	tɕa51	tɕa51	tonal inexact	crossed	1093-1095
book-of-poetry/odes-of-wang/zhs	Shu Li	3	忧	求	iu55	kiu24	inexact	crossed	1094-1096
book-of-poetry/odes-of-wang/zhs	Jun Zi Yu Yi	2	哉	来	tsai55	lai24	inexact	encircling	1111-1114
book-of-poetry/odes-of-wang/zhs	Yang Zhi Shui	2	薪	申	ɕin55	ɕin55	tonal exact	crossed	1134-1136
book-of-poetry/odes-of-wang/zhs	Yang Zhi Shui	2	哉	哉	tsai55	tsai55	tonal inexact	paired	1137-1138
book-of-poetry/odes-of-wang/zhs	Yang Zhi Shui	3	哉	哉	tsai55	tsai55	tonal inexact	paired	1143-1144
book-of-poetry/odes-of-wang/zhs	Zhong Gu	2	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	paired	1154-1155
book-of-poetry/odes-of-wang/zhs	Zhong Gu	2	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	1154-1156
book-of-poetry/odes-of-wang/zhs	Zhong Gu	2	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	paired	1155-1156
book-of-poetry/odes-of-wang/zhs	Zhong Gu	3	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	paired	1160-1161
book-of-poetry/odes-of-wang/zhs	Zhong Gu	3	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	crossed	1160-1162
book-of-poetry/odes-of-wang/zhs	Zhong Gu	3	矣	矣	aʔ3ʔ	aʔ3ʔ	tonal exact	paired	1161-1162
book-of-poetry/odes-of-wang/zhs	Ge Lei	3	父	父	hu33	hu33	tonal inexact	paired	1193-1194
book-of-poetry/odes-of-wang/zhs	Qiu Zhong You Ma	3	国	国	kɔk̚3ʔ	kɔk̚3ʔ	tonal exact	paired	1234-1235
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	杞	之	ki51	tɕi55	inexact	paired	1261-1262
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	也	言	ia33	gian24	inexact	paired	1264-1265
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	也	也	ia33	ia33	tonal inexact	crossed	1264-1266
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	2	言	也	gian24	ia33	inexact	paired	1265-1266
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	3	也	言	ia33	gian24	inexact	paired	1272-1273
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	3	也	也	ia33	ia33	tonal inexact	crossed	1272-1274
book-of-poetry/odes-of-zheng/zhs	Jiang Zhong Zi	3	言	也	gian24	ia33	inexact	paired	1273-1274
book-of-poetry/odes-of-zheng/zhs	Shu Yu Tian	2	人	人	dzin24	dzin24	tonal exact	paired	1284-1285
book-of-poetry/odes-of-zheng/zhs	Shu Yu Tian	2	人	仁	dzin24	dzin24	tonal exact	encircling	1284-1287
book-of-poetry/odes-of-zheng/zhs	Shu Yu Tian	2	人	仁	dzin24	dzin24	tonal exact	crossed	1285-1287
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	组	所	tsɔ55	sɔ51	inexact	-	1300-1305
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	2	舞	虎	bu51	hu55	inexact	encircling	1301-1304
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	行	忌	hiŋ33	kʰi33	tonal inexact	encircling	1311-1314
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	行	忌	hiŋ33	kʰi33	tonal inexact	-	1311-1315
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	行	忌	hiŋ33	kʰi33	tonal inexact	-	1311-1316
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	行	忌	hiŋ33	kʰi33	tonal inexact	-	1311-1317
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kʰi33	kʰi33	tonal inexact	paired	1314-1315
book-of-poetry/odes-of-zheng/zhs	Da Shu Yu Tian	3	忌	忌	kʰi33	kʰi33	tonal inexact	crossed	1314-1316
