book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	2	鸠	逑	tɕiou55	tɕʰiou35	inexact	encircling	1-4
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	之	之	tʂʅ55	tʂʅ55	tonal inexact	crossed	6-8
book-of-poetry/odes-of-zhou-and-the-south/zhs	Guan Ju	3	得	侧	tɤ35	tsʰɤ51	inexact	-	9-12
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ge Tan	2	谷	木	ku214	mu51	inexact	encircling	22-25
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ge Tan	3	谷	莫	ku214	mu51	inexact	paired	28-29
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ge Tan	3	綌	斁	ɕi51	i51	tonal inexact	-	31-32
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	2	之	之	tʂʅ55	tʂʅ55	tonal inexact	crossed	56-58
book-of-poetry/odes-of-zhou-and-the-south/zhs	Jiu Mu	3	之	之	tʂʅ55	tʂʅ55	tonal inexact	crossed	60-62
book-of-poetry/odes-of-zhou-and-the-south/zhs	Zhong SI	2	兮	兮	ɕi55	ɕi55	tonal inexact	crossed	68-70
book-of-poetry/odes-of-zhou-and-the-south/zhs	Zhong SI	3	兮	兮	ɕi55	ɕi55	tonal inexact	crossed	72-74
book-of-poetry/odes-of-zhou-and-the-south/zhs	Tu Ju	2	丁	城	tʂəŋ55	tʂʰəŋ35	exact	crossed	92-94
book-of-poetry/odes-of-zhou-and-the-south/zhs	Fu Yi	2	之	之	tʂʅ55	tʂʅ55	tonal inexact	crossed	104-106
book-of-poetry/odes-of-zhou-and-the-south/zhs	Fu Yi	3	之	之	tʂʅ55	tʂʅ55	tonal inexact	crossed	108-110
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	息	矣	ɕi55	i214	inexact	encircling	116-119
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	息	矣	ɕi55	i214	inexact	-	116-121
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sɿ55	sɿ55	tonal inexact	-	118-120
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sɿ55	sɿ55	tonal inexact	crossed	118-122
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	矣	矣	i214	i214	tonal inexact	-	119-121
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	2	思	思	sɿ55	sɿ55	tonal inexact	-	120-122
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	矣	矣	i214	i214	tonal inexact	-	127-129
book-of-poetry/odes-of-zhou-and-the-south/zhs	Han Guang	3	思	思	sɿ55	sɿ55	tonal inexact	-	128-130
book-of-poetry/odes-of-zhou-and-the-south/zhs	Ru Fen	3	肄	弃	i51	tɕʰi51	tonal inexact	crossed	144-146
book-of-poetry/odes-of-zhou-and-the-south/zhs	Lin Zhi Zhi	3	姓	兮	ɕiŋ51	ɕi55	inexact	paired	155-156
book-of-poetry/odes-of-shao-and-the-south/zhs	Que Chao	2	之	之	tʂʅ55	tʂʅ55	tonal inexact	crossed	161-163
book-of-poetry/odes-of-shao-and-the-south/zhs	Que Chao	3	之	之	tʂʅ55	tʂʅ55	tonal inexact	crossed	165-167
book-of-poetry/odes-of-shao-and-the-south/zhs	Cai Fan	2	沚	之	tʂʅ214	tʂʅ55	inexact	paired	173-174
book-of-poetry/odes-of-shao-and-the-south/zhs	Cai Fan	2	沚	事	tʂʅ214	ʂʅ51	inexact	crossed	173-175
book-of-poetry/odes-of-shao-and-the-south/zhs	Cai Fan	2	之	事	tʂʅ55	ʂʅ51	inexact	-	174-175
book-of-poetry/odes-of-shao-and-the-south/zhs	Cai Fan	3	中	宫	tʂuŋ55	kuŋ55	tonal exact	crossed	177-179
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	2	止	止	tʂʅ214	tʂʅ214	tonal inexact	-	188-189
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	3	蕨	说	tɕyɛ35	yɛ51	inexact	-	192-197
book-of-poetry/odes-of-shao-and-the-south/zhs	Cao Chong	3	止	止	tʂʅ214	tʂʅ214	tonal inexact	-	195-196
book-of-poetry/odes-of-shao-and-the-south/zhs	Cai Ping	2	藻	潦	tsɑu214	lɑu214	tonal inexact	-	207-208
