ID	CONCEPT	IPA	DOCULECT	COGID
1	洲	tʂou55	Mandarin	1
2	洲	ʦieu44	Fuzhou	1
3	洲	tɕu55	Hokkien	1
4	洲	tsɐu55	Cantonese	1
5	洲	tsu24	Hakka	1
6	菜	tsʰai51	Mandarin	2
7	菜	ʦʰɑi212	Fuzhou	2
8	菜	tsʰai31	Hokkien	2
9	菜	tsʰɔi33	Cantonese	2
10	菜	tsʰoi55	Hakka	2
11	之	tʂʅ55	Mandarin	3
12	之	ʦi44	Fuzhou	3
13	之	tɕi55	Hokkien	3
14	之	tsi55	Cantonese	3
15	之	tsɨ24	Hakka	3
16	之	tʂʅ55	Mandarin	3
17	之	ʦi44	Fuzhou	3
18	之	tɕi55	Hokkien	3
19	之	tsi55	Cantonese	3
20	之	tsɨ24	Hakka	3
21	服	fu35	Mandarin	4
22	服	huʔ5	Fuzhou	4
23	服	hɔk̚5ʔ	Hokkien	4
24	服	fuk22	Cantonese	4
25	服	fuk̚5	Hakka	4
26	哉	tsai55	Mandarin	5
27	哉	ʦai44	Fuzhou	5
28	哉	tsai55	Hokkien	5
29	哉	tsɔi55	Cantonese	5
30	哉	tsai24	Hakka	5
31	側	tsʰɤ51	Mandarin	6
32	側	ʦʰɑiʔ23	Fuzhou	6
33	側	tɕʰik̚3ʔ	Hokkien	6
34	側	tsɐk55	Cantonese	6
35	側	tset̚2	Hakka	6
36	菜	tsʰai51	Mandarin	2
37	菜	ʦʰɑi212	Fuzhou	2
38	菜	tsʰai31	Hokkien	2
39	菜	tsʰɔi33	Cantonese	2
40	菜	tsʰoi55	Hakka	2
41	之	tʂʅ55	Mandarin	3
42	之	ʦi44	Fuzhou	3
43	之	tɕi55	Hokkien	3
44	之	tsi55	Cantonese	3
45	之	tsɨ24	Hakka	3
46	之	tʂʅ55	Mandarin	3
47	之	ʦi44	Fuzhou	3
48	之	tɕi55	Hokkien	3
49	之	tsi55	Cantonese	3
50	之	tsɨ24	Hakka	3
51	菜	tsʰai51	Mandarin	2
52	菜	ʦʰɑi212	Fuzhou	2
53	菜	tsʰai31	Hokkien	2
54	菜	tsʰɔi33	Cantonese	2
55	菜	tsʰoi55	Hakka	2
56	之	tʂʅ55	Mandarin	3
57	之	ʦi44	Fuzhou	3
58	之	tɕi55	Hokkien	3
59	之	tsi55	Cantonese	3
60	之	tsɨ24	Hakka	3
61	之	tʂʅ55	Mandarin	3
62	之	ʦi44	Fuzhou	3
63	之	tɕi55	Hokkien	3
64	之	tsi55	Cantonese	3
65	之	tsɨ24	Hakka	3
66	谷	ku214	Mandarin	7
67	谷	kouʔ23	Fuzhou	7
68	谷	kɔk̚3ʔ	Hokkien	7
69	谷	kuk55	Cantonese	7
70	谷	kuk̚2	Hakka	7
71	谷	ku214	Mandarin	7
72	谷	kouʔ23	Fuzhou	7
73	谷	kɔk̚3ʔ	Hokkien	7
74	谷	kuk55	Cantonese	7
75	谷	kuk̚2	Hakka	7
76	莫	mu51	Mandarin	8
77	莫	mouʔ5	Fuzhou	8
78	莫	bɔk̚5ʔ	Hokkien	8
79	莫	mɔk22	Cantonese	8
80	莫	mok̚5	Hakka	8
81	氏	ʂʅ51	Mandarin	9
82	氏	sɛi242	Fuzhou	9
83	氏	ɕi33	Hokkien	9
84	氏	si22	Cantonese	9
85	氏	sɨ55	Hakka	9
86	歸	kuei55	Mandarin	10
87	歸	kuoi44	Fuzhou	10
88	歸	kui55	Hokkien	10
89	歸	kʷɐi55	Cantonese	10
90	歸	kui24	Hakka	10
91	否	fou214	Mandarin	11
92	否	pʰɛu32	Fuzhou	11
93	否	hɔ̃51	Hokkien	11
94	否	fɐu35	Cantonese	11
95	否	feu31	Hakka	11
96	人	rən35	Mandarin	12
97	人	iŋ53	Fuzhou	12
98	人	dzin24	Hokkien	12
