Type	Mandarin	Fuzhou	Hokkien	Cantonese	Hakka	Amount	Line numbers
INITIALS						26	885,894,907,998,2839,3039,3086,3415,3491,3604,3680,3724,4128,4196,4811,4815,4819,4860,5243,5266,5539,5624,5719,5984,6683,7294
INITIALS					v	4	2043,2491,3591,3633
INITIALS				j		536	52,53,54,67,71,75,79,83,87,119,121,127,129,135,137,204,227,254,292,295,296,319,323,340,342,350,352,354,363,369,370,373,384,386,396,402,469,480,484,485,488,499,503,514,534,539,541,553,574,575,576,577,578,626,627,628,630,677,715,717,718,719,721,723,724,725,727,729,730,731,740,742,743,744,745,746,747,749,751,752,753,755,756,757,759,762,763,764,766,769,770,771,773,776,792,793,804,814,815,816,817,850,853,868,873,888,920,970,972,973,984,986,987,988,990,992,994,997,1008,1011,1017,1018,1025,1057,1061,1065,1069,1070,1073,1074,1077,1078,1084,1094,1104,1113,1121,1125,1152,1154,1155,1156,1158,1160,1161,1162,1164,1166,1167,1168,1181,1186,1264,1266,1272,1274,1280,1282,1286,1291,1293,1296,1313,1330,1335,1355,1359,1362,1385,1449,1455,1461,1503,1519,1530,1531,1534,1535,1540,1583,1693,1694,1704,1705,1710,1716,1722,1730,1825,1834,1842,1850,1863,1924,1960,1964,1976,1979,2018,2052,2064,2082,2086,2171,2195,2236,2240,2248,2249,2281,2302,2346,2347,2349,2353,2357,2428,2441,2446,2460,2461,2462,2500,2533,2541,2546,2547,2565,2694,2695,2724,2726,2728,2754,2755,2780,2782,2826,2832,2833,2841,2843,2845,2847,2849,2850,2851,2864,2887,2928,2929,2930,2931,2932,2933,2957,2967,3006,3010,3016,3081,3098,3100,3101,3136,3141,3177,3197,3198,3207,3209,3244,3250,3253,3259,3262,3263,3273,3296,3307,3313,3336,3342,3348,3350,3353,3356,3357,3358,3359,3360,3407,3432,3433,3435,3437,3467,3477,3492,3494,3559,3562,3563,3578,3581,3590,3636,3656,3657,3660,3676,3708,3721,3728,3729,3732,3739,3755,3758,3802,3810,3822,3826,3834,3842,3848,3849,3851,3875,3897,3899,3902,3939,3941,3943,3966,4008,4017,4020,4062,4064,4090,4103,4112,4124,4161,4165,4169,4174,4177,4183,4189,4195,4201,4233,4236,4245,4246,4252,4275,4286,4358,4371,4421,4422,4427,4428,4433,4434,4446,4448,4449,4450,4464,4530,4535,4573,4580,4601,4610,4620,4685,4694,4696,4697,4698,4699,4700,4701,4702,4726,4774,4823,4824,4834,4883,4900,4902,4904,4906,4908,4910,4912,4914,4916,4918,4919,4920,4938,4952,4954,4974,4991,4992,4993,5025,5045,5053,5068,5076,5101,5102,5103,5104,5140,5148,5150,5159,5162,5209,5217,5228,5247,5260,5331,5367,5383,5384,5437,5499,5505,5511,5517,5523,5532,5537,5544,5557,5574,5580,5583,5592,5597,5628,5629,5630,5633,5635,5638,5639,5640,5643,5655,5661,5666,5668,5669,5695,5740,5741,5742,5743,5773,5785,5831,5897,5899,5901,5903,5906,5948,5974,5980,5994,5995,6028,6064,6114,6147,6181,6299,6364,6407,6429,6505,6507,6509,6511,6512,6513,6546,6547,6549,6551,6570,6597,6599,6616,6653,6685,6697,6731,6754,6811,6870,6899,6907,6915,6923,6951,7002,7009,7011,7016,7017,7025,7040,7045,7053,7058,7117,7124,7234,7239,7252,7289
INITIALS				j	tɕʰ	0	
INITIALS				j	v	5	2325,2329,2333,4816,6351
INITIALS				w		4	3449,3588,3913,4317
INITIALS				w	v	78	524,607,621,663,821,1172,2288,2294,2300,2413,2692,2777,3149,3399,3478,3642,3665,3687,3715,3726,3864,4158,4209,4215,4241,4289,4635,4953,4969,4999,5004,5014,5015,5036,5040,5054,5099,5113,5115,5129,5223,5227,5250,5251,5257,5296,5349,5506,5534,5547,5687,5783,5789,5804,5878,6019,6110,6298,6306,6373,6520,6575,6614,6617,6628,6634,6671,6729,6753,6755,6757,6771,6879,7039,7222,7228,7257,7269
INITIALS			h	j		7	2513,3572,3996,4100,4674,6080,6121
INITIALS			h	w		5	1483,1484,1630,4831,6335
INITIALS			b	m	m	21	374,424,543,1389,2022,2100,2612,2615,2991,3254,4223,4648,4710,5535,5882,6500,6504,6508,6523,6594,6772
INITIALS			b	m	v	18	592,1207,1297,1301,2701,3518,4548,5110,5312,5454,6129,6338,6434,6937,6985,7042,7091,7258
INITIALS			dz	j		14	1555,1556,1557,1558,1559,1560,1561,1562,1829,1835,3512,3517,4704,4706
INITIALS		h		j		0	
INITIALS		h		w		0	
INITIALS		h	h	h	h	0	
INITIALS		ŋ	h	j		1	6926
INITIALS		ŋ	h	j	k	1	2938
INITIALS		ŋ	h	j	ts	0	
INITIALS		ŋ	h	j	s	1	2220
INITIALS		ŋ	h	j	ɕ	0	
INITIALS		ŋ	h	j	t	0	
INITIALS		ŋ	g	ŋ	ŋ	4	1365,6162,6625,6893
INITIALS		ŋ	g	j	ŋ	104	618,703,716,722,728,736,819,820,905,958,960,1265,1273,1279,1281,1370,1474,1480,1493,1498,1504,1699,1700,1985,1989,1993,1997,2001,2005,2042,2130,2205,2235,2569,2696,2764,2821,3019,3041,3091,3194,3257,3278,3312,3404,3505,3537,3547,3691,3697,3700,3770,3854,3894,3896,3969,4153,4564,4628,4637,4639,4799,5118,5246,5264,5440,5478,5502,5560,5565,5571,5577,5595,5706,5750,5802,5850,5856,5858,5859,5860,5862,5870,5894,5900,5923,5935,5988,6038,6104,6184,6258,6265,6266,6275,6426,6503,6532,6983,7068,7171,7205,7253,7277
INITIALS		m		w	v	7	3458,4002,4721,5418,5990,6107,6109
INITIALS		m	b	m	m	4	563,567,3601,3602
INITIALS		m	b	m	v	0	
INITIALS		s	ɕ	j	s	0	
INITIALS		t	t	tʰ	tʰ	0	
INITIALS	ʂ	s	tɕʰ	s	s	3	3131,4072,7100
INITIALS	ʂ	s	s	s	s	37	277,281,430,1422,3284,3465,3470,3621,3625,3703,4119,4356,4632,4745,4751,4757,4763,4959,4963,4967,5178,5355,5492,5493,5501,5545,5657,6030,6056,6411,6563,6789,6814,6880,6997,7127,7255
INITIALS	ʂ	s	s	s	tsʰ	2	4176,6126
INITIALS	ʂ	s	s	tsʰ	s	1	3311
INITIALS	ʂ	s	tɕ	s	s	4	3277,4855,4899,4905
INITIALS	ʂ	s	ɕ	s	s	115	82,358,404,500,550,691,737,788,852,1136,1225,1232,1320,1344,1443,1851,1982,2028,2035,2112,2124,2136,2170,2174,2334,2476,2506,2542,2553,2622,2788,2971,3532,3627,3630,3686,3714,3811,3923,3933,3959,3970,3983,3988,4046,4264,4304,4307,4393,4401,4432,4510,4520,4600,4644,4887,4891,4895,4925,4950,5005,5008,5013,5042,5055,5062,5073,5092,5404,5427,5479,5801,5809,5817,5825,5833,5841,5842,5849,5877,5880,5913,6008,6092,6102,6112,6122,6132,6140,6142,6146,6164,6165,6223,6255,6327,6400,6402,6405,6466,6541,6624,6725,6737,6784,6852,7041,7136,7139,7173,7186,7196,7207,7214,7274
INITIALS	ʂ	s	ɕ	tsʰ	s	4	3024,3030,3036,4579
INITIALS	ʂ	s	l	s	ŋ	0	
INITIALS	ʂ	ʦ	tɕ	ts	ts	0	
INITIALS	ʂ	ʦ	ɕ	s	s	0	
INITIALS	ʂ	ʦ	ts	s	s	14	1133,1139,1145,1470,1476,1638,1852,1858,1864,3247,4113,6957,6965,6973
INITIALS	tɕ	ʦʰ	tɕʰ	ts	tɕʰ	2	6324,6745
INITIALS	tɕ	ʦ	k	k	k	0	
INITIALS	tɕ	ʦ	tɕ	ts	tɕʰ	1	2746
INITIALS	tɕ	ʦ	tɕ	ts	tɕ	59	1289,1290,1368,1387,1445,1908,2099,2475,2577,2624,2633,2641,2918,2922,2926,2936,2940,2944,2948,3228,3506,3585,4073,4144,4155,4219,4255,4301,4335,4543,4629,4646,4885,4889,4893,4897,4931,4981,5096,5248,5463,5467,5468,5608,5826,5875,5987,6642,6793,6824,6942,6976,6977,7075,7162,7178,7184,7213,7221
INITIALS	tɕ	ʦ	tɕ	ts	ɕ	3	4797,4801,5022
INITIALS	tɕ	ʦ	ts	ts	tɕ	3	5132,5581,6823
INITIALS	tɕ	ʦ	ts	ts	ts	0	
INITIALS	tɕ	h	k	k	h	2	4238,4578
